protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
leach_c,7,23,55,82.88651784168182,1.3814419640280304,37,37,1.0,0.6011512527282118,1.0,1.0,1.0,0.9268576697382352,27.984278645978264,0.6595707242063262,3
leach_c,7,24,55,81.19717050688674,1.3532861751147789,42,42,1.0,0.6011512527282118,1.0,1.0,1.0,0.9159761053016863,26.503998802771655,0.6603201828220638,3
leach_c,7,25,55,79.9122150906534,1.33187025151089,37,37,1.0,0.6011512527282118,1.0,1.0,1.0,0.9082603049468628,25.0,0.6911925540104608,3
leach_c,7,26,54,78.35096693779367,1.305849448963228,38,37,0.9736842105263158,0.6011512527282118,1.0,1.0,1.0,0.9126775963882132,23.49600119722835,0.6554840221920845,3
leach_c,7,27,53,77.17032246814216,1.2861720411357027,32,31,0.96875,0.6011512527282118,1.0,1.0,1.0,0.920413965866326,22.015721354021746,0.6660002735215022,3
leach_c,7,28,53,75.89993176117012,1.2649988626861688,35,35,1.0,0.6011512527282118,1.0,1.0,1.0,0.9084198641575448,20.582505367783867,0.6477040476329035,3
leach_c,7,29,52,74.84008207273422,1.2473347012122369,30,29,0.9666666666666667,0.6011512527282118,1.0,0.6666666666666666,1.0,0.9145148473052597,19.218955910779414,0.6463719699708255,3
leach_c,7,30,52,73.03898043216037,1.2173163405360061,38,38,1.0,0.6012161001066824,1.0,1.0,1.0,0.9066132200704272,17.946576972490327,0.664222252341356,3
leach_c,7,31,52,71.42320052703785,1.190386675450631,38,38,1.0,0.6012161001066824,1.0,1.0,1.0,0.8994703906051947,16.78543472885574,0.6776525728817743,3
leach_c,7,32,52,69.7766122059548,1.1629435367659133,36,36,1.0,0.6012161001066824,1.0,1.0,1.0,0.8868076681567273,15.753841086690528,0.6627819831749108,3
leach_c,7,33,52,67.97391588402661,1.1328985980671102,40,40,1.0,0.6012161001066824,1.0,1.0,1.0,0.8702810459997907,14.868064893975816,0.7107631522018758,3
leach_c,7,34,52,66.53017807203308,1.1088363012005513,36,36,1.0,0.6012161001066824,1.0,1.0,1.0,0.8536280303974841,14.142075370407763,0.6993080063582066,3
leach_c,7,35,51,65.60091149449111,1.0933485249081853,30,29,0.9666666666666667,0.6012161001066824,1.0,0.6666666666666666,1.0,0.8611210030887025,13.587321804458158,0.6831557198030365,3
leach_c,7,36,51,64.57190988236445,1.0761984980394075,32,25,0.78125,0.6009716904655046,1.0,1.0,1.0,0.8493478782372218,13.212552991255736,0.6843847195917429,3
leach_c,7,37,50,63.90823332272124,1.0651372220453539,36,24,0.6666666666666666,0.6009716904655046,1.0,1.0,1.0,0.8587401342946673,13.023679258860742,0.684773887935772,3
leach_c,7,38,50,63.321245532405115,1.055354092206752,31,21,0.6774193548387096,0.6009716904655046,1.0,1.0,1.0,0.8521688637831252,13.023679258860742,0.6584219140335235,3
leach_c,7,39,50,62.42324307170334,1.040387384528389,40,29,0.725,0.6009716904655046,1.0,1.0,1.0,0.8421809462165705,13.212552991255736,0.6878820970740157,3
leach_c,7,40,49,60.45499964538961,1.0075833274231603,33,32,0.9696969696969697,0.6009515909886125,1.0,1.0,1.0,0.8482434976479476,13.587321804458156,0.6721770883334491,2
leach_c,7,41,48,58.27111601089018,0.9711852668481697,35,34,0.9714285714285714,0.6009515909886125,1.0,1.0,1.0,0.8465543924365615,14.142075370407762,0.6997592184023662,2
leach_c,7,42,46,56.907815627989606,0.9484635937998268,29,27,0.9310344827586207,0.6009515909886125,1.0,1.0,1.0,0.8712315062499519,14.86806489397582,0.6822265598178036,2
leach_c,7,43,46,55.20972529510427,0.9201620882517378,32,32,1.0,0.6009515909886125,1.0,1.0,1.0,0.8562436742298593,15.753841086690525,0.6686553580051106,2
